delta_time,count_on,count_off
0.1,14,892
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
0.1,21,885
